title,make,model,year,condition,transmission,price
Honda Odyssey EX 4dr Minivan (3.5L 6cyl 6A) 2014 Gray,Honda,Odyssey Ex,2014.0,Foreign Used,Automatic,13000000
Lexus GX 460 Luxury 2016 White,Lexus,Gx 460,2016.0,Foreign Used,Automatic,40500000
Lexus RX 350 2013 Gray,Lexus,Rx 350,2013.0,Foreign Used,Automatic,24500000
Toyota Corolla 2014 Black,Toyota,Corolla,2014.0,Local Used,Automatic,12500000
Toyota Highlander LE V6 4x4 (3.5L 6cyl 6A) 2016 Burgundy,Toyota,Highlander Le,2016.0,Foreign Used,Automatic,23500000
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Black,Toyota,Camry Se,2008.0,Local Used,Automatic,4650000
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2021 Black,Mercedes Benz,ClaClass Cla,2021.0,Local Used,Automatic,28999999
Lexus RX 350 2016 Gold,Lexus,Rx 350,2016.0,Foreign Used,Automatic,47000000
Mazda CX-9 Sport 4dr SUV (3.7L 6cyl 6A) 2014 Black,Mazda,Cx9 Sport,2014.0,Local Used,Automatic,7000000
Toyota Camry 2008 Silver,Toyota,Camry,2008.0,Foreign Used,Automatic,9100000
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Toyota,Avalon Xle,2014.0,Foreign Used,Automatic,18000000
Toyota Camry 2018 Gray,Toyota,Camry,2018.0,Foreign Used,Automatic,25000000
Toyota RAV4 2023 Gray,Toyota,Rav4,2023.0,Foreign Used,Automatic,48000000
Nissan Almera 2016 Black,Nissan,Almera,2016.0,Local Used,Automatic,6500000
Lexus RX 350 2010 White,Lexus,Rx 350,2010.0,Foreign Used,Automatic,21000000
Hyundai Sonata 2014 Blue,Hyundai,Sonata,2014.0,Local Used,Automatic,6000000
Ford Edge 2008 White,Ford,Edge,2008.0,Local Used,Automatic,4500000
Lexus RX 350 2008 Silver,Lexus,Rx 350,2008.0,Foreign Used,Automatic,11750000
Audi Q7 55 Premium AWD quattro 2019 Silver,Audi,Q7 55,2019.0,Foreign Used,Automatic,45550000
Honda Crosstour 2010 Blue,Honda,Crosstour,2010.0,Foreign Used,Automatic,10950000
Nissan Pathfinder 2017 Blue,Nissan,Pathfinder,2017.0,Foreign Used,Automatic,23800000
Toyota RAV4 LE 4dr SUV AWD (2.5L 4cyl 6A) 2015 Silver,Toyota,Rav4 Le,2015.0,Foreign Used,Automatic,17000000
Toyota Venza 2012 Gray,Toyota,Venza,2012.0,Foreign Used,Automatic,18200000
Toyota Highlander XLE 2021 Gray,Toyota,Highlander Xle,2021.0,Foreign Used,Automatic,55000000
Toyota Camry 2013 Black,Toyota,Camry,2013.0,Foreign Used,Automatic,16500000
Toyota Venza Limited 2013 Gray,Toyota,Venza Limited,2013.0,Foreign Used,Automatic,23000000
Hyundai Santa Fe 2018 Black,Hyundai,Santa Fe,2018.0,Foreign Used,Automatic,25000000
Mercedes-Benz E350 2014 Red,Mercedes Benz,E350,2014.0,Local Used,Automatic,14500000
Toyota Corolla 2004 Red,Toyota,Corolla,2004.0,Local Used,Automatic,4700000
Toyota RAV4 2015 Gray,Toyota,Rav4,2015.0,Foreign Used,Automatic,25500000
Toyota Camry 2000 Green,Toyota,Camry,2000.0,Local Used,Automatic,1980000
Mercedes-Benz GLK-Class 2011 Green,Mercedes Benz,GlkClass,2011.0,Foreign Used,Automatic,15500000
Toyota Highlander 2005 Red,Toyota,Highlander,2005.0,Local Used,Automatic,8226562
Toyota Camry 2.4 LE 2008 Green,Toyota,Camry 2,2008.0,Local Used,Automatic,7000000
Lexus ES 350 2008 Green,Lexus,Es 350,2008.0,Local Used,Automatic,11325000
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 White,Toyota,Camry Le,2010.0,Local Used,Automatic,7750000
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Gray,Toyota,Corolla Le,2012.0,Local Used,Automatic,5700000
Lexus ES 2013 White,Lexus,Es,2013.0,Foreign Used,Automatic,15000000
Mercedes-Benz C300 Sport Sedan AWD (3.0L 6cyl 7A) 2009 Black,Mercedes Benz,C300 Sport,2009.0,Local Used,Automatic,7200000
Audi Q7 2007 White,Audi,Q7,2007.0,Local Used,Automatic,4950000
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gold,Toyota,Camry Le,2013.0,Foreign Used,Automatic,12000000
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Brown,Acura,Mdx Suv,2008.0,Local Used,Automatic,5500000
Acura ZDX Base AWD 2012 Black,Acura,Zdx Base,2012.0,Local Used,Automatic,10500000
Toyota Highlander V6 FWD 2003 Blue,Toyota,Highlander V6,2003.0,Local Used,Automatic,5500000
Toyota Corolla 2006 Brown,Toyota,Corolla,2006.0,Local Used,Automatic,5200000
Ford F-150 Lariat 4dr SuperCab 4WD 6.5 ft. SB (5.0L 8cyl 6A) 2014 White,Ford,F150 Lariat,2014.0,Local Used,Automatic,17500000
Toyota 4-Runner 2010 Gray,Toyota,4Runner,2010.0,Local Used,Automatic,15500000
Toyota Corolla 2013 Red,Toyota,Corolla,2013.0,Local Used,Automatic,7300000
Lexus RX 2008 Silver,Lexus,Rx,2008.0,Foreign Used,Automatic,11500000
Subaru Tribeca 2004 Silver,Subaru,Tribeca,2004.0,Local Used,Automatic,5500000
Mercedes-Benz C240 2004 White,Mercedes Benz,C240,2004.0,Local Used,Automatic,3500000
Toyota Venza AWD 2011 Black,Toyota,Venza Awd,2011.0,Foreign Used,Automatic,18200000
Toyota Highlander 2006 Red,Toyota,Highlander,2006.0,Local Used,Automatic,6000000
Mitsubishi Montero 2002 Silver,Mitsubishi,Montero,2002.0,Local Used,Automatic,3960000
Lexus ES 2013 White,Lexus,Es,2013.0,Foreign Used,Automatic,19500000
Lexus RX 330 2005 Gray,Lexus,Rx 330,2005.0,Local Used,Automatic,7800000
