title,make,model,year,condition,transmission,price
Chevrolet Aveo 1.6 LT 2008 Black,Chevrolet,Aveo 1,2008,local used,automatic,"₦ 3,200,000"
Honda Accord 2011 Red,Honda,Accord,2011,local used,automatic,"₦ 4,050,000"
Mercedes-Benz GLK-Class 2015 White,Mercedes-Benz,GLK-Class,2015,foreign used,automatic,"₦ 22,500,000"
Toyota Sienna 2001 Red,Toyota,Sienna,2001,local used,automatic,"₦ 2,950,000"
GMC Terrain 2014 Black,GMC,Terrain,2014,foreign used,automatic,"₦ 33,000,000"
Toyota Camry 2018,Toyota,Camry,2018,local used,automatic,"₦ 18,500,000"
Toyota Camry 2000 Gray,Toyota,Camry,2000,local used,automatic,"₦ 2,500,000"
Toyota Camry 2010 Gray,Toyota,Camry,2010,local used,automatic,"₦ 6,000,000"
Mazda CX-9 2014 Black,Mazda,CX-9,2014,local used,automatic,"₦ 7,000,000"
Honda Odyssey EX 4dr Minivan (3.5L 6cyl 6A) 2014 Gray,Honda,Odyssey EX,2014,foreign used,automatic,"₦ 13,000,000"
Lexus GX 460 Luxury 2016 White,Lexus,GX 460,2016,foreign used,automatic,"₦ 40,500,000"
Lexus RX 350 2013 Gray,Lexus,RX 350,2013,foreign used,automatic,"₦ 24,500,000"
Toyota Land Cruiser Prado 2019 White,Toyota,Land Cruiser,2019,foreign used,automatic,"₦ 78,600,000"
Toyota Corolla 2014 Black,Toyota,Corolla,2014,local used,automatic,"₦ 12,500,000"
Toyota Highlander LE V6 4x4 (3.5L 6cyl 6A) 2016 Burgundy,Toyota,Highlander LE,2016,foreign used,automatic,"₦ 23,500,000"
Lexus LX 570 AWD 2016 White,Lexus,LX 570,2016,local used,automatic,"₦ 68,800,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Black,Toyota,Camry SE,2008,local used,automatic,"₦ 4,650,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2021 Black,Mercedes-Benz,CLA-Class CLA,2021,local used,automatic,"₦ 28,999,999"
Lexus RX 350 2016 Gold,Lexus,RX 350,2016,foreign used,automatic,"₦ 47,000,000"
Mazda CX-9 Sport 4dr SUV (3.7L 6cyl 6A) 2014 Black,Mazda,CX-9 Sport,2014,local used,automatic,"₦ 7,000,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,foreign used,automatic,"₦ 9,100,000"
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 18,000,000"
Toyota Camry 2018 Gray,Toyota,Camry,2018,foreign used,automatic,"₦ 25,000,000"
Toyota RAV4 2023 Gray,Toyota,RAV4,2023,foreign used,automatic,"₦ 48,000,000"
Nissan Almera 2016 Black,Nissan,Almera,2016,local used,automatic,"₦ 6,500,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,foreign used,automatic,"₦ 21,000,000"
Hyundai Sonata 2014 Blue,Hyundai,Sonata,2014,local used,automatic,"₦ 6,000,000"
Ford Edge 2008 White,Ford,Edge,2008,local used,automatic,"₦ 4,500,000"
Lexus LX 570 AWD 2016 Gray,Lexus,LX 570,2016,local used,automatic,"₦ 80,000,000"
Lexus RX 350 2008 Silver,Lexus,RX 350,2008,foreign used,automatic,"₦ 11,750,000"
Audi Q7 55 Premium AWD quattro 2019 Silver,Audi,Q7 55,2019,foreign used,automatic,"₦ 45,550,000"
Honda Crosstour 2010 Blue,Honda,Crosstour,2010,foreign used,automatic,"₦ 10,950,000"
Nissan Pathfinder 2017 Blue,Nissan,Pathfinder,2017,foreign used,automatic,"₦ 23,800,000"
Toyota RAV4 LE 4dr SUV AWD (2.5L 4cyl 6A) 2015 Silver,Toyota,RAV4 LE,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Venza 2012 Gray,Toyota,Venza,2012,foreign used,automatic,"₦ 18,200,000"
Hyundai Santa Fe Limited 4dr SUV AWD w/Saddle Interior (3.3L 6cyl 6A) Black,,,,foreign used,automatic,"₦ 17,500,000"
