title,make,model,year,condition,transmission,price
Honda Accord 2005 Black,Honda,Accord,2005.0,Local Used,Automatic,2950000.0
Lexus ES 2013 White,Lexus,Es,2013.0,Foreign Used,Automatic,18500000.0
Nissan X-Trail 2006 Silver,Nissan,X-Trail,2006.0,Local Used,Automatic,7500000.0
Mercedes-Benz GLE-Class GLE 350 2018,Mercedes-Benz,Gle-Class Gle,2018.0,Local Used,Automatic,40000000.0
Toyota Highlander 2015 White,Toyota,Highlander,2015.0,Foreign Used,Automatic,27000000.0
Lexus ES 350 2008 Black,Lexus,Es 350,2008.0,Local Used,Automatic,9000000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2003 Silver,Toyota,Camry Le,2003.0,Local Used,Automatic,3800000.0
Honda Pilot 2014 Silver,Honda,Pilot,2014.0,Local Used,Automatic,5700000.0
Toyota RAV4 2.5 2010 Red,Toyota,Rav4 2,2010.0,Local Used,Automatic,6700000.0
Honda Accord 2008 Black,Honda,Accord,2008.0,Local Used,Automatic,4300000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry Le,2016.0,Foreign Used,Automatic,14200000.0
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Burgundy,Acura,Mdx Sh,2016.0,Foreign Used,Automatic,17500000.0
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Gray,Acura,Mdx Sh,2016.0,Foreign Used,Automatic,17500000.0
Lexus RX 350 AWD 2015 Red,Lexus,Rx 350,2015.0,Foreign Used,Automatic,24500000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry Se,2013.0,Foreign Used,Automatic,12800000.0
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Black,Acura,Mdx Sh,2016.0,Foreign Used,Automatic,17500000.0
Lexus RX 350 2015 Black,Lexus,Rx 350,2015.0,Foreign Used,Automatic,24500000.0
Honda CR-V 2020 Blue,Honda,Cr-V,2020.0,Foreign Used,Automatic,30000000.0
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 White,Mercedes-Benz,C300 Luxury,2010.0,Foreign Used,Automatic,12800000.0
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2012 White,Mercedes-Benz,C300 Luxury,2012.0,Foreign Used,Automatic,13500000.0
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015.0,Foreign Used,Automatic,24500000.0
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015.0,Foreign Used,Automatic,24000000.0
Mercedes-Benz C300 Luxury 4matic Sedan AWD (2.0L 4cyl 7A) 2017 Blue,Mercedes-Benz,C300 Luxury,2017.0,Foreign Used,Automatic,26500000.0
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015.0,Foreign Used,Automatic,24700000.0
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Blue,Mercedes-Benz,C300 Luxury,2015.0,Foreign Used,Automatic,24800000.0
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015.0,Foreign Used,Automatic,24900000.0
Mercedes-Benz C300 Luxury 4matic Sedan AWD (2.0L 4cyl 7A) 2017 White,Mercedes-Benz,C300 Luxury,2017.0,Foreign Used,Automatic,26300000.0
Honda Accord Automatic 2005 Black,Honda,Accord Automatic,2005.0,Local Used,Automatic,3350000.0
Toyota Highlander Limited V6 4x4 (3.5L 6cyl 6A) 2016 Burgundy,Toyota,Highlander Limited,2016.0,Local Used,Automatic,24500000.0
Toyota RAV4 2007 Silver,Toyota,Rav4,2007.0,Local Used,Automatic,6500000.0
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2012 Red,Toyota,Camry L,2012.0,Local Used,Automatic,8000000.0
Toyota Camry 2003 Silver,Toyota,Camry,2003.0,Local Used,Automatic,3500000.0
Mercedes-Benz CLA-Class 2016 Black,Mercedes-Benz,Cla-Class,2016.0,Local Used,Automatic,12403125.0
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2012 Silver,Hyundai,Sonata Limited,2012.0,Local Used,Automatic,6950000.0
Lexus RX 350 AWD 2015 Gold,Lexus,Rx 350,2015.0,Foreign Used,Automatic,25000000.0
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 Black,Mercedes-Benz,C300 Luxury,2013.0,Foreign Used,Automatic,14000000.0
Lexus RX 350 AWD 2015 Gray,Lexus,Rx 350,2015.0,Foreign Used,Automatic,24000000.0
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2016 White,Toyota,Camry Xle,2016.0,Foreign Used,Automatic,17500000.0
Lexus RX 350 AWD 2013 Black,Lexus,Rx 350,2013.0,Foreign Used,Automatic,21500000.0
Lexus ES 350 2010 Maroon,Lexus,Es 350,2010.0,Foreign Used,Automatic,13550000.0
Toyota Corolla 2010 Black,Toyota,Corolla,2010.0,Foreign Used,Automatic,12800000.0
Toyota Highlander 2010 Gray,Toyota,Highlander,2010.0,Foreign Used,Automatic,20882812.0
Lexus RX 350 2009 Silver,Lexus,Rx 350,2009.0,Local Used,Automatic,7700000.0
Pontiac Torrent 2006 Gray,Pontiac,Torrent,2006.0,Local Used,Automatic,4000000.0
Toyota Corolla 2012 Gray,Toyota,Corolla,2012.0,Foreign Used,Automatic,12600000.0
Toyota Corolla 2020 Gray,Toyota,Corolla,2020.0,Foreign Used,Automatic,20000000.0
Nissan Frontier Automatic 2005 Gray,Nissan,Frontier Automatic,2005.0,Local Used,Automatic,3900000.0
Toyota Sienna LE AWD 2006 Gray,Toyota,Sienna Le,2006.0,Foreign Used,Automatic,9500000.0
Toyota Camry 2016 Blue,Toyota,Camry,2016.0,Foreign Used,Automatic,15900000.0
Toyota Camry 2009 Black,Toyota,Camry,2009.0,Foreign Used,Automatic,10000000.0
Mercedes-Benz GLC-Class 2018 Black,Mercedes-Benz,Glc-Class,2018.0,Local Used,Automatic,35000000.0
Toyota Prius 2010 Gold,Toyota,Prius,2010.0,Foreign Used,Automatic,16453125.0
Acura MDX 2014 Black,Acura,Mdx,2014.0,Foreign Used,Automatic,18500000.0
Hyundai Sonata 2015 Black,Hyundai,Sonata,2015.0,Foreign Used,Automatic,15900000.0
Pontiac Vibe 2.4 4WD 2010 Red,Pontiac,Vibe 2,2010.0,Foreign Used,Automatic,10000000.0
Honda Odyssey 2004 Red,Honda,Odyssey,2004.0,Local Used,Automatic,2750000.0
BMW 4 Series 435i RWD 2014 Blue,BMW,4 Series,2014.0,Foreign Used,Automatic,28000000.0
Lexus RX 350 2008 Blue,Lexus,Rx 350,2008.0,Local Used,Automatic,9550000.0
Infiniti QX60 2014 White,Infiniti,Qx60,2014.0,Foreign Used,Automatic,17000000.0
Hyundai Santa Fe 2.2 CRDi 4WD Automatic 2008 Burgundy,Hyundai,Santa Fe,2008.0,Foreign Used,Automatic,11500000.0
Toyota Avalon XL Sedan FWD ( 3.5L 6cyl 6A) 2008 Black,Toyota,Avalon Xl,2008.0,Foreign Used,Automatic,8000000.0
Toyota Celica 2003 Silver,Toyota,Celica,2003.0,Foreign Used,Automatic,8500000.0
Infiniti JX 2012 Silver,Infiniti,Jx,2012.0,Foreign Used,Automatic,14000000.0
Acura MDX Premium 4dr SUV AWD (3.5L 6cyl 5A) 2005 Gray,Acura,Mdx Premium,2005.0,Local Used,Automatic,5000000.0
Hyundai Elantra 2018 White,Hyundai,Elantra,2018.0,Foreign Used,Automatic,14000000.0
BMW G-Series 2012 Purple,BMW,G-Series,2012.0,Local Used,Automatic,9500000.0
Toyota Sienna XLE AWD 2019 Gray,Toyota,Sienna Xle,2019.0,Foreign Used,Automatic,42000000.0
Pontiac Vibe 2007 Gray,Pontiac,Vibe,2007.0,Local Used,Automatic,6500000.0
Toyota Highlander XLE 2019 Gray,Toyota,Highlander Xle,2019.0,Foreign Used,Automatic,29000000.0
Lexus ES 350 2008 Gold,Lexus,Es 350,2008.0,Local Used,Automatic,7600000.0
Toyota Highlander Limited V6 2005 Silver,Toyota,Highlander Limited,2005.0,Foreign Used,Automatic,10000000.0
Mercedes-Benz GLE-Class 2018 Silver,Mercedes-Benz,Gle-Class,2018.0,Foreign Used,Automatic,33000000.0
Dodge Charger SE 2007 Red,Dodge,Charger Se,2007.0,Local Used,Automatic,3164062.0
Toyota RAV4 2.0 VVT-i 2008 Red,Toyota,Rav4 2,2008.0,Local Used,Automatic,6500000.0
Toyota Highlander Limited 2009 Green,Toyota,Highlander Limited,2009.0,Local Used,Automatic,10400000.0
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2007 Silver,Toyota,Camry Xle,2007.0,Foreign Used,Automatic,10500000.0
Toyota Avensis 2015 Silver,Toyota,Avensis,2015.0,Local Used,Automatic,7500000.0
Toyota Avalon 2014 Blue,Toyota,Avalon,2014.0,Foreign Used,Automatic,19600000.0
